i,box_h,pred,conf,illegible,face_px_det,face_px_geo,anchor,face,face_usable
84,106.0,20,0.2034,False,0.0,11.777777777777777,False,False,False
85,106.0,24,0.2742,False,0.0,11.777777777777777,False,False,False
86,111.0,33,0.3243,False,0.0,12.333333333333332,False,False,False
87,103.0,-1,0.4092,True,0.0,11.444444444444445,False,False,False
88,113.0,20,0.2573,False,0.0,12.555555555555555,False,False,False
89,100.0,11,0.785,False,0.0,11.11111111111111,True,False,False
90,112.0,10,0.5003,False,0.0,12.444444444444443,False,False,False
91,112.0,10,0.5253,False,0.0,12.444444444444443,False,False,False
92,107.0,36,0.1067,False,0.0,11.888888888888888,False,False,False
93,108.0,11,0.2949,False,0.0,12.0,False,False,False
94,103.0,20,0.3757,False,0.0,11.444444444444445,False,False,False
95,105.0,25,0.1707,False,0.0,11.666666666666666,False,False,False
96,107.0,-1,0.2648,True,0.0,11.888888888888888,False,False,False
97,105.0,-1,0.4972,True,0.0,11.666666666666666,False,False,False
98,135.0,11,0.7962,False,0.0,15.0,True,False,False
99,107.0,11,0.3936,False,0.0,11.888888888888888,False,False,False
100,105.0,20,0.1114,False,0.0,11.666666666666666,False,False,False
101,116.0,20,0.7474,False,0.0,12.888888888888888,True,False,False
102,102.0,11,0.2141,False,0.0,11.333333333333332,False,False,False
103,116.0,24,0.236,False,0.0,12.888888888888888,False,False,False
104,107.0,8,0.3511,False,0.0,11.888888888888888,False,False,False
105,137.0,11,0.1758,False,0.0,15.222222222222221,False,False,False
106,112.0,30,0.1714,False,0.0,12.444444444444443,False,False,False
107,105.0,11,0.5076,False,0.0,11.666666666666666,False,False,False
108,102.0,20,0.565,False,0.0,11.333333333333332,False,False,False
109,113.0,20,0.8045,False,0.0,12.555555555555555,True,False,False
110,111.0,11,0.1447,False,0.0,12.333333333333332,False,False,False
111,101.0,36,0.1539,False,0.0,11.222222222222221,False,False,False
112,116.0,11,0.4876,False,0.0,12.888888888888888,False,False,False
113,111.0,25,0.2031,False,0.0,12.333333333333332,False,False,False
114,101.0,20,0.3668,False,0.0,11.222222222222221,False,False,False
115,113.0,8,0.3112,False,0.0,12.555555555555555,False,False,False
116,132.0,36,0.1953,False,0.0,14.666666666666666,False,False,False
117,119.0,10,0.565,False,0.0,13.222222222222221,False,False,False
118,101.0,29,0.1733,False,0.0,11.222222222222221,False,False,False
119,111.0,33,0.4562,False,0.0,12.333333333333332,False,False,False
120,110.0,11,0.2184,False,0.0,12.222222222222221,False,False,False
121,104.0,20,0.628,False,0.0,11.555555555555555,False,False,False
122,128.0,22,0.157,False,0.0,14.222222222222221,False,False,False
123,105.0,8,0.2736,False,0.0,11.666666666666666,False,False,False
124,106.0,10,0.3914,False,0.0,11.777777777777777,False,False,False
