match,chunk,frame,box_h,face_px_geo,face_px_det
manutd_brighton,h1_chunk_001,10115,107.0,11.888888888888888,0.0
manutd_brighton,h1_chunk_001,10215,96.0,10.666666666666666,0.0
manutd_brighton,h1_chunk_001,11300,80.0,8.88888888888889,0.0
manutd_brighton,h1_chunk_001,11485,99.0,11.0,0.0
manutd_brighton,h1_chunk_001,11725,86.0,9.555555555555555,0.0
manutd_brighton,h1_chunk_001,11770,102.0,11.333333333333332,0.0
manutd_brighton,h1_chunk_001,11800,92.0,10.222222222222221,0.0
manutd_brighton,h1_chunk_001,11910,79.0,8.777777777777777,0.0
manutd_brighton,h1_chunk_001,12335,86.0,9.555555555555555,0.0
manutd_brighton,h1_chunk_001,12395,118.0,13.11111111111111,0.0
manutd_brighton,h1_chunk_001,12480,129.0,14.333333333333332,0.0
manutd_brighton,h1_chunk_001,12620,85.0,9.444444444444445,0.0
manutd_brighton,h1_chunk_001,12685,68.0,7.555555555555555,0.0
manutd_brighton,h1_chunk_001,12825,69.0,7.666666666666666,0.0
manutd_brighton,h1_chunk_001,13020,78.0,8.666666666666666,0.0
manutd_brighton,h1_chunk_001,13260,121.0,13.444444444444443,0.0
manutd_brighton,h1_chunk_001,13340,121.0,13.444444444444443,0.0
manutd_brighton,h1_chunk_001,13495,109.0,12.11111111111111,0.0
manutd_brighton,h1_chunk_001,13770,67.0,7.444444444444444,0.0
manutd_brighton,h1_chunk_001,13820,72.0,8.0,0.0
manutd_brighton,h1_chunk_001,13925,75.0,8.333333333333332,0.0
manutd_brighton,h1_chunk_001,14070,74.0,8.222222222222221,0.0
manutd_brighton,h1_chunk_001,14345,93.0,10.333333333333332,0.0
manutd_brighton,h1_chunk_001,14360,101.0,11.222222222222221,0.0
manutd_brighton,h1_chunk_001,14645,127.0,14.11111111111111,0.0
manutd_brighton,h1_chunk_002,4645,79.0,8.777777777777777,0.0
manutd_brighton,h1_chunk_002,4730,92.0,10.222222222222221,0.0
manutd_brighton,h1_chunk_002,5070,104.0,11.555555555555555,0.0
manutd_brighton,h1_chunk_002,5350,105.0,11.666666666666666,0.0
manutd_brighton,h1_chunk_002,5835,90.0,10.0,0.0
manutd_brighton,h1_chunk_002,5910,78.0,8.666666666666666,0.0
manutd_brighton,h1_chunk_002,6235,75.0,8.333333333333332,0.0
manutd_brighton,h1_chunk_002,6720,108.0,12.0,0.0
manutd_brighton,h1_chunk_002,6790,95.0,10.555555555555555,0.0
manutd_brighton,h1_chunk_002,7560,109.0,12.11111111111111,0.0
manutd_brighton,h1_chunk_002,9100,74.0,8.222222222222221,0.0
manutd_brighton,h1_chunk_002,10310,99.0,11.0,0.0
manutd_brighton,h1_chunk_002,11615,86.0,9.555555555555555,0.0
manutd_brighton,h1_chunk_002,11655,72.0,8.0,0.0
manutd_brighton,h1_chunk_002,11790,99.0,11.0,0.0
manutd_brighton,h1_chunk_002,11830,96.0,10.666666666666666,0.0
manutd_brighton,h1_chunk_002,13685,122.0,13.555555555555555,0.0
manutd_brighton,h1_chunk_002,13950,68.0,7.555555555555555,0.0
manutd_brighton,h1_chunk_002,14020,70.0,7.777777777777778,0.0
manutd_brighton,h1_chunk_002,14065,72.0,8.0,0.0
manutd_brighton,h1_chunk_002,14315,73.0,8.11111111111111,0.0
manutd_brighton,h1_chunk_002,14485,75.0,8.333333333333332,0.0
manutd_brighton,h1_chunk_002,14515,81.0,9.0,0.0
manutd_brighton,h1_chunk_003,60,104.0,11.555555555555555,0.0
manutd_brighton,h1_chunk_003,155,77.0,8.555555555555555,0.0
manutd_brighton,h1_chunk_003,310,71.0,7.888888888888888,0.0
manutd_brighton,h1_chunk_003,675,85.0,9.444444444444445,0.0
manutd_brighton,h1_chunk_003,830,93.0,10.333333333333332,0.0
manutd_brighton,h1_chunk_003,865,97.0,10.777777777777777,0.0
manutd_brighton,h1_chunk_003,885,93.0,10.333333333333332,0.0
manutd_brighton,h1_chunk_003,1170,71.0,7.888888888888888,0.0
manutd_brighton,h1_chunk_003,1230,76.0,8.444444444444445,0.0
manutd_brighton,h1_chunk_003,1285,84.0,9.333333333333332,0.0
manutd_brighton,h1_chunk_003,1390,105.0,11.666666666666666,0.0
manutd_brighton,h1_chunk_003,1555,93.0,10.333333333333332,0.0
manutd_brighton,h1_chunk_003,1580,100.0,11.11111111111111,0.0
manutd_brighton,h1_chunk_003,1625,123.0,13.666666666666666,0.0
manutd_brighton,h1_chunk_003,1755,117.0,13.0,0.0
manutd_brighton,h1_chunk_003,1920,98.0,10.888888888888888,0.0
manutd_brighton,h1_chunk_003,2015,90.0,10.0,0.0
manutd_brighton,h1_chunk_003,2050,96.0,10.666666666666666,0.0
manutd_brighton,h1_chunk_003,2105,84.0,9.333333333333332,0.0
manutd_brighton,h1_chunk_003,2165,73.0,8.11111111111111,0.0
manutd_brighton,h1_chunk_003,2420,106.0,11.777777777777777,0.0
manutd_brighton,h1_chunk_003,2485,116.0,12.888888888888888,27.0
manutd_brighton,h1_chunk_003,2565,118.0,13.11111111111111,0.0
manutd_brighton,h1_chunk_003,2700,93.0,10.333333333333332,0.0
manutd_brighton,h1_chunk_003,2775,113.0,12.555555555555555,0.0
manutd_brighton,h1_chunk_003,2955,70.0,7.777777777777778,0.0
manutd_brighton,h1_chunk_003,3095,75.0,8.333333333333332,0.0
manutd_brighton,h1_chunk_003,3630,106.0,11.777777777777777,0.0
manutd_brighton,h1_chunk_003,5090,69.0,7.666666666666666,0.0
manutd_brighton,h1_chunk_003,5200,77.0,8.555555555555555,0.0
manutd_brighton,h1_chunk_003,5250,82.0,9.11111111111111,0.0
manutd_brighton,h1_chunk_003,5315,69.0,7.666666666666666,0.0
manutd_brighton,h1_chunk_003,5410,88.0,9.777777777777777,0.0
manutd_brighton,h1_chunk_003,5530,76.0,8.444444444444445,0.0
manutd_brighton,h1_chunk_003,5800,72.0,8.0,0.0
manutd_brighton,h1_chunk_003,5825,72.0,8.0,0.0
manutd_brighton,h1_chunk_003,6895,79.0,8.777777777777777,0.0
manutd_brighton,h1_chunk_003,7020,70.0,7.777777777777778,0.0
manutd_brighton,h1_chunk_003,7215,76.0,8.444444444444445,0.0
manutd_brighton,h1_chunk_003,7545,83.0,9.222222222222221,0.0
manutd_brighton,h1_chunk_003,8440,97.0,10.777777777777777,0.0
manutd_brighton,h1_chunk_003,8505,87.0,9.666666666666666,0.0
manutd_brighton,h1_chunk_003,8555,104.0,11.555555555555555,0.0
manutd_brighton,h1_chunk_003,8585,96.0,10.666666666666666,0.0
manutd_brighton,h1_chunk_003,8865,69.0,7.666666666666666,0.0
manutd_brighton,h1_chunk_003,8970,81.0,9.0,0.0
manutd_brighton,h1_chunk_003,9140,97.0,10.777777777777777,0.0
manutd_brighton,h1_chunk_003,9215,103.0,11.444444444444445,0.0
manutd_brighton,h1_chunk_003,9505,107.0,11.888888888888888,0.0
manutd_brighton,h1_chunk_003,9570,122.0,13.555555555555555,0.0
manutd_brighton,h1_chunk_003,9610,101.0,11.222222222222221,0.0
manutd_brighton,h1_chunk_003,9620,112.0,12.444444444444443,0.0
manutd_brighton,h1_chunk_003,9650,101.0,11.222222222222221,0.0
manutd_brighton,h1_chunk_003,9780,97.0,10.777777777777777,0.0
manutd_brighton,h1_chunk_003,9850,74.0,8.222222222222221,0.0
