_a,attr_pass
Lewis Dunk,25
Joël Veltman,17
Manuel Ugarte,16
Bruno Fernandes,15
Danny Welbeck,12
Amad Diallo,10
Carlos Baleba,10
Harry Maguire,9
Yasin Ayari,9
Noussair Mazraoui,6
Pervis Estupiñán,5
Jan Paul van Hecke,4
Kaoru Mitoma,3
Diogo Dalot,2
Alejandro Garnacho,1
João Pedro,1
Leny Yoro,1
Solly March,1
