_a,attr_pass
Dejan Kulusevski,21
Alejandro Garnacho,16
Manuel Ugarte,9
Rodrigo Bentancur,9
Timo Werner,8
James Maddison,7
Brennan Johnson,7
Christian Eriksen,7
Diogo Dalot,6
Lisandro Martínez,6
Noussair Mazraoui,5
Micky van de Ven,5
Cristian Romero,4
Pedro Porro,3
Destiny Udogie,3
Marcus Rashford,3
Bruno Fernandes,2
Lucas Bergvall,2
Dominic Solanke,1
Pape Matar Sarr,1
