_a,attr_pass
Bruno Fernandes,26
Ibrahima Konaté,16
Noussair Mazraoui,13
Andy Robertson,12
Lisandro Martínez,9
Casemiro,9
Marcus Rashford,7
Ryan Gravenberch,7
Diogo Jota,5
Dominik Szoboszlai,4
Toby Collyer,4
Alejandro Garnacho,3
Diogo Dalot,3
Alexis Mac Allister,3
Darwin Núñez,1
